Category,Tool,Accuracy,Speed,Energy Efficiency,Carbon Footprint,Waste Reduction
Category 1,Tool 1,7.56,3.79,5.67,6.22,9.16
Category 1,Tool 2,4.26,6.13,7.27,5.54,7.99
Category 1,Tool 3,7.47,2.69,1.09,5.45,2.88
Category 1,Tool 4,2.9,6.7,4.38,9.05,9.38
Category 2,Tool 1,8.8,4.81,2.45,2.52,5.8
Category 2,Tool 2,3.29,4.9,7.82,6.02,5.86
Category 2,Tool 3,9.67,3.19,7.36,7.14,8.52
Category 2,Tool 4,6.24,3.27,6.68,5.88,3.67
Category 3,Tool 1,8.43,3.54,2.88,2.2,9.56
Category 3,Tool 2,5.59,8.49,3.48,2.59,7.38
Category 3,Tool 3,5.4,5.53,1.25,7.87,8.05
Category 3,Tool 4,2.4,3.63,1.06,8.64,2.1
Category 4,Tool 1,5.18,4.22,1.89,9.73,7.56
Category 4,Tool 2,4.07,8.39,6.57,9.6,5.84
Category 4,Tool 3,6.36,5.32,3.26,4.87,3.77
Category 4,Tool 4,1.33,7.22,6.26,8.46,3.47
Category 5,Tool 1,8.65,2.37,1.52,4.16,3.62
Category 5,Tool 2,9.4,4.6,3.71,6.69,9.52
Category 5,Tool 3,7.4,1.9,2.87,7.75,3.17
Category 5,Tool 4,8.14,5.75,8.63,9.67,4.09
Category 6,Tool 1,4.72,3.14,9.46,2.53,3.45
Category 6,Tool 2,3.6,1.89,9.33,3.19,5.54
Category 6,Tool 3,1.22,5.95,4.72,4.63,5.31
Category 6,Tool 4,9.62,9.88,2.85,3.15,7.1
Category 7,Tool 1,4.02,2.56,4.04,6.31,2.98
Category 7,Tool 2,9.54,6.23,9.64,8.02,7.04
Category 7,Tool 3,2.41,3.2,3.37,9.67,1.04
Category 7,Tool 4,8.21,2.72,7.96,1.01,7.43
Category 8,Tool 1,6.35,7.73,9.11,5.49,7.12
Category 8,Tool 2,9.15,7.06,3.25,5.81,6.86
Category 8,Tool 3,6.26,7.03,6.99,2.27,3.54
Category 8,Tool 4,8.89,7.01,5.33,4.95,2.75
Category 9,Tool 1,1.79,1.52,4.82,3.6,9.5
Category 9,Tool 2,3.18,6.17,9.91,1.15,7.62
Category 9,Tool 3,4.06,8.64,5.11,4.48,5.79
Category 9,Tool 4,9.48,3.6,6.88,1.52,1.54
Category 10,Tool 1,9.52,4.61,1.79,1.2,2.58
Category 10,Tool 2,2.77,4.07,4.64,1.8,1.33
Category 10,Tool 3,9.83,9.55,9.37,6.26,2.26
Category 10,Tool 4,3.19,5.54,9.29,3.86,7.59
Category 11,Tool 1,1.41,2.51,8.78,2.78,4.0
Category 11,Tool 2,5.05,1.54,9.54,5.95,3.05
Category 11,Tool 3,6.71,9.22,3.62,3.82,4.41
Category 11,Tool 4,1.74,7.1,2.67,7.68,5.51
Category 12,Tool 1,4.07,6.65,2.28,3.55,6.38
Category 12,Tool 2,6.06,4.51,2.2,4.7,8.09
Category 12,Tool 3,5.82,3.14,6.44,6.37,6.29
Category 12,Tool 4,1.33,2.99,8.53,4.68,8.58
Category 13,Tool 1,2.9,9.02,9.18,7.65,8.51
Category 13,Tool 2,1.82,2.45,5.18,1.79,8.53
Category 13,Tool 3,7.61,7.5,3.8,6.82,7.32
Category 13,Tool 4,6.77,9.13,2.4,7.98,4.89
Category 14,Tool 1,1.5,1.38,2.66,3.81,4.13
Category 14,Tool 2,5.13,3.07,5.49,3.46,6.24
Category 14,Tool 3,6.08,8.79,9.54,1.04,9.52
Category 14,Tool 4,4.38,5.4,3.51,2.28,3.24
Category 15,Tool 1,3.35,8.54,8.02,5.58,7.73
Category 15,Tool 2,4.04,2.27,9.68,1.32,5.85
Category 15,Tool 3,2.55,2.14,2.97,2.16,1.55
Category 15,Tool 4,1.24,3.77,1.49,7.85,2.81
Category 16,Tool 1,3.07,5.39,6.27,8.84,5.57
Category 16,Tool 2,3.44,6.62,2.54,7.63,9.33
Category 16,Tool 3,2.84,5.47,8.72,9.63,6.97
Category 16,Tool 4,1.36,7.59,3.88,8.13,1.67
Category 17,Tool 1,8.43,8.36,2.75,3.76,8.16
Category 17,Tool 2,3.78,8.68,9.3,3.81,1.73
Category 17,Tool 3,4.34,7.18,9.38,2.64,8.37
Category 17,Tool 4,1.11,1.43,4.19,6.76,6.24
Category 18,Tool 1,7.87,5.23,8.46,6.5,9.96
Category 18,Tool 2,7.3,6.55,3.15,2.35,8.06
Category 18,Tool 3,4.39,6.77,4.79,5.6,4.99
Category 18,Tool 4,8.47,7.67,7.52,8.39,1.82
Category 19,Tool 1,5.63,2.06,6.82,6.04,1.77
Category 19,Tool 2,7.35,2.65,3.87,9.69,3.1
Category 19,Tool 3,6.7,6.9,2.56,1.5,8.54
Category 19,Tool 4,8.07,3.68,5.5,7.48,5.96
Category 20,Tool 1,5.66,1.86,2.63,1.64,5.49
Category 20,Tool 2,5.44,1.33,7.71,5.59,5.12
Category 20,Tool 3,2.78,9.09,6.12,2.71,7.42
Category 20,Tool 4,1.75,7.1,7.1,3.08,4.56
