Category,Tool,Accuracy,Speed,Energy Efficiency,Carbon Footprint,Waste Reduction
Category 1,Tool 1,9.88,2.37,8.95,2.75,7.27
Category 1,Tool 2,6.57,5.64,6.0,4.85,4.8
Category 1,Tool 3,7.08,3.43,7.12,3.45,6.06
Category 1,Tool 4,7.34,4.95,6.51,3.04,6.09
Category 2,Tool 1,8.24,6.79,3.08,6.49,6.01
Category 2,Tool 2,8.28,6.52,3.53,6.77,6.9
Category 2,Tool 3,6.3,3.32,6.66,4.33,5.73
Category 2,Tool 4,8.71,1.48,9.61,2.77,7.77
Category 3,Tool 1,8.19,1.65,8.3,2.85,8.23
Category 3,Tool 2,6.91,4.38,6.26,4.46,5.33
Category 3,Tool 3,8.88,2.84,9.01,1.6,8.41
Category 3,Tool 4,6.72,7.9,7.91,3.62,5.42
Category 4,Tool 1,6.71,5.55,5.69,4.83,4.79
Category 4,Tool 2,6.1,5.71,6.2,4.27,4.37
Category 4,Tool 3,7.78,6.62,4.62,5.89,7.35
Category 4,Tool 4,7.17,6.99,3.71,5.62,7.85
Category 5,Tool 1,8.61,5.26,3.58,6.84,6.64
Category 5,Tool 2,5.89,3.0,6.26,5.19,5.77
Category 5,Tool 3,6.08,3.37,6.82,3.52,6.72
Category 5,Tool 4,8.19,1.03,9.09,1.87,7.95
Category 6,Tool 1,6.81,4.66,7.14,4.61,5.23
Category 6,Tool 2,7.23,4.64,7.48,4.54,5.44
Category 6,Tool 3,7.45,6.42,4.36,6.58,6.22
Category 6,Tool 4,5.23,5.07,5.55,4.58,4.07
Category 7,Tool 1,7.99,5.12,3.53,6.87,6.76
Category 7,Tool 2,9.19,1.15,9.12,1.02,7.15
Category 7,Tool 3,6.56,6.03,6.66,4.87,5.52
Category 7,Tool 4,6.78,4.79,6.5,4.54,4.77
Category 8,Tool 1,6.5,2.95,6.8,4.41,4.38
Category 8,Tool 2,8.69,5.9,4.2,5.95,7.03
Category 8,Tool 3,8.98,1.1,9.48,1.9,7.33
Category 8,Tool 4,9.17,1.32,9.12,3.0,7.45
Category 9,Tool 1,7.91,6.38,3.18,5.84,6.15
Category 9,Tool 2,8.71,5.91,3.7,5.09,6.94
Category 9,Tool 3,6.86,3.53,6.69,5.8,4.92
Category 9,Tool 4,6.79,3.48,6.54,4.96,6.87
Category 10,Too _1,8.31,6.22,3.38,5.45,6.58
Category 10,Too _2,9.89,1.05,8.54,2.2,8.84
Category 10,Too _3,6.86,3.33,5.04,4.1,5.73
Category 10,Too _4,7.12,5.98,4.42,5.51,6.85
Category 11,Too _1,6.08,3.64,6.31,4.58,4.71
Category 11,Too _2,6.71,4.42,5.18,4.59,5.94
Category 11,Too _3,8.29,2.93,9.57,2.14,8.03
Category 11,Too _4,8.43,5.8,3.39,6.57,7.63
Category 12,Too _1,9.73,2.45,8.63,2.22,8.37
Category 12,Too _2,7.59,5.48,4.55,6.87,7.78
Category 12,Too _3,8.48,1.56,8.28,2.39,7.07
Category 12,Too _4,6.71,6.33,7.67,3.29,6.51
Category 13,Too _1,6.17,4.68,7.96,3.25,5.97
Category 13,Too _2,7.83,3.47,6.15,3.7,5.88
Category 13,Too _3,6.37,4.72,7.06,4.33,5.21
Category 13,Too _4,8.56,6.23,4.01,7.0,7.37
Category 14,Too _1,6.31,3.21,6.5,4.21,5.97
Category 14,Too _2,8.66,2.9,8.5,2.64,8.29
Category 14,Too _3,8.12,5.53,3.11,5.74,7.11
Category 14,Too _4,6.48,5.89,5.51,5.15,4.11
Category 15,Too _1,6.1,3.29,7.33,4.03,6.89
Category 15,Too _2,7.83,6.91,4.09,5.2,7.95
Category 15,Too _3,5.28,5.77,5.44,4.04,4.06
Category 15,Too _4,7.09,6.54,4.71,5.08,7.24
Category 16,Too _1,8.32,6.61,4.98,5.07,7.83
Category 16,Too _2,7.02,6.64,3.31,6.17,6.02
Category 16,Too _3,8.84,5.78,4.23,5.89,6.08
Category 16,Too _4,8.38,1.19,8.58,2.12,8.73
Category 17,Too _1,5.12,3.84,6.63,5.82,5.63
Category 17,Too _2,6.21,5.99,7.38,3.39,5.91
Category 17,Too _3,7.84,6.73,7.48,4.2,5.06
Category 17,Too _4,6.51,3.22,6.58,5.39,5.08
Category 18,Too _1,8.9,6.28,4.33,5.28,7.86
Category 18,Too _2,5.61,5.05,5.57,5.25,5.69
Category 18,Too _3,5.26,4.47,5.14,4.74,5.91
Category 18,Too _4,6.2,3.28,7.98,4.76,5.09
Category 19,Too _1,8.4,1.94,9.94,2.3,7.86
Category 19,Too _2,6.35,3.85,5.82,4.07,5.74
Category 19,Too _3,7.26,6.05,6.18,4.32,6.53
Category 19,Too _4,8.54,5.43,4.87,6.37,6.18
Category 20,Too _1,6.05,4.33,6.36,4.64,5.54
Category 20,Too _2,7.7,6.37,6.6,3.79,6.05
Category 20,Too _3,8.71,1.86,9.71,2.51,7.82
Category 20,Too _4,8.05,5.42,3.31,5.17,7.66
