Category,Tool,Tool Description,Accuracy,Speed,Energy Efficiency,Carbon Footprint,Waste Reduction,Energy Consumption,Resource Efficiency,Water Usage,Lifetime Durability
Machine Learning Optimization,Machine Learning Optimization_Tool_1,Description of Machine Learning Optimization tool 1,7.79,7.26,6.09,4.91,6.98,4.91,6.09,2.5,7.9
Machine Learning Optimization,Machine Learning Optimization_Tool_2,Description of Machine Learning Optimization tool 2,8.32,7.28,5.93,5.07,6.37,5.07,5.93,1.84,7.67
Machine Learning Optimization,Machine Learning Optimization_Tool_3,Description of Machine Learning Optimization tool 3,10,8.33,6.09,4.91,8.8,4.91,6.09,2.34,8.04
Machine Learning Optimization,Machine Learning Optimization_Tool_4,Description of Machine Learning Optimization tool 4,8.92,6.59,5.71,5.29,6.12,5.29,5.71,1.86,7
Machine Learning Optimization,Machine Learning Optimization_Tool_5,Description of Machine Learning Optimization tool 5,7.48,8.73,5.83,5.17,8.95,5.17,5.83,2.28,8.0
Machine Learning Optimization,Machine Learning Optimization_Tool_6,Description of Machine Learning Optimization tool 6,9.02,7.26,6.25,4.75,7.02,4.75,6.25,1.79,8.67
Machine Learning Optimization,Machine Learning Optimization_Tool_7,Description of Machine Learning Optimization tool 7,7.25,8.11,5.99,5.01,3.5,5.01,5.99,2.29,9.23
Machine Learning Optimization,Machine Learning Optimization_Tool_8,Description of Machine Learning Optimization tool 8,8.37,6.58,5.98,5.02,8.12,5.02,5.98,1.84,8.47
Machine Learning Optimization,Machine Learning Optimization_Tool_9,Description of Machine Learning Optimization tool 9,6.58,7.82,5.63,5.37,3.18,5.37,5.63,2.01,8.21
Machine Learning Optimization,Machine Learning Optimization_Tool_10,Description of Machine Learning Optimization tool 10,6.47,7.1,6.13,4.87,3.4,4.87,6.13,2.25,9.25
Machine Learning Optimization,Machine Learning Optimization_Tool_11,Description of Machine Learning Optimization tool 11,9.39,6.84,5.75,5.25,8.31,5.25,5.75,2.12,7.93
Machine Learning Optimization,Machine Learning Optimization_Tool_12,Description of Machine Learning Optimization tool 12,8.42,10,5.85,5.15,6.51,5.15,5.85,2.06,7.72
Machine Learning Optimization,Machine Learning Optimization_Tool_13,Description of Machine Learning Optimization tool 13,8.45,7.0,6.12,4.88,8.31,4.88,6.12,1.64,8.29
Machine Learning Optimization,Machine Learning Optimization_Tool_14,Description of Machine Learning Optimization tool 14,8.67,7.97,5.81,5.19,7.48,5.19,5.81,1.87,8.39
Machine Learning Optimization,Machine Learning Optimization_Tool_15,Description of Machine Learning Optimization tool 15,6.87,7.34,5.86,5.14,9.43,5.14,5.86,2.72,7.19
Machine Learning Optimization,Machine Learning Optimization_Tool_16,Description of Machine Learning Optimization tool 16,6.75,5,6.04,4.96,3.94,4.96,6.04,1.67,8.05
Machine Learning Optimization,Machine Learning Optimization_Tool_17,Description of Machine Learning Optimization tool 17,8.67,7.59,6.17,4.83,5.41,4.83,6.17,2.17,8.49
Machine Learning Optimization,Machine Learning Optimization_Tool_18,Description of Machine Learning Optimization tool 18,8.55,9.67,6.13,4.87,8.07,4.87,6.13,2.44,8.54
Machine Learning Optimization,Machine Learning Optimization_Tool_19,Description of Machine Learning Optimization tool 19,7.53,10,6.15,4.85,3.1,4.85,6.15,2.01,8.25
Machine Learning Optimization,Machine Learning Optimization_Tool_20,Description of Machine Learning Optimization tool 20,7.48,5.67,6.48,4.52,7.28,4.52,6.48,2.17,8.52
