Category,Tool,Accuracy,Speed,Energy Efficiency,Carbon Footprint,Waste Reduction
Machine Learning Optimization,Machine_Learning_Optimization_Tool_1,8.86,1.93,9.46,2.81,8.68
Machine Learning Optimization,Machine_Learning_Optimization_Tool_2,8.48,5.92,3.38,5.67,6.53
Machine Learning Optimization,Machine_Learning_Optimization_Tool_3,5.96,3.58,6.56,5.61,5.77
Machine Learning Optimization,Machine_Learning_Optimization_Tool_4,8.15,6.91,3.59,5.29,7.68
Energy-Efficient NLP,Energy-Efficient_NLP_Tool_1,6.5,4.64,5.86,5.04,5.79
Energy-Efficient NLP,Energy-Efficient_NLP_Tool_2,7.32,6.9,4.38,6.07,7.25
Energy-Efficient NLP,Energy-Efficient_NLP_Tool_3,8.29,6.43,3.25,6.68,6.01
Energy-Efficient NLP,Energy-Efficient_NLP_Tool_4,9.78,1.54,8,2.07,7.3
Green Computer Vision,Green_Computer_Vision_Tool_1,9.61,2.22,8.38,1.67,8.93
Green Computer Vision,Green_Computer_Vision_Tool_2,8.89,1.72,8.64,1.18,8.01
Green Computer Vision,Green_Computer_Vision_Tool_3,5.65,5.71,5.47,4.75,4.49
Green Computer Vision,Green_Computer_Vision_Tool_4,8.32,2.32,8.13,2.33,7.68
Sustainable Edge Computing,Sustainable_Edge_Computing_Tool_1,8.57,6.53,3.64,5.67,6.16
Sustainable Edge Computing,Sustainable_Edge_Computing_Tool_2,8.71,6.27,3.85,6.22,6.8
Sustainable Edge Computing,Sustainable_Edge_Computing_Tool_3,8.6,2.56,9.63,2.07,8.37
Sustainable Edge Computing,Sustainable_Edge_Computing_Tool_4,8.23,1.28,9.18,1.94,8.09
Resource-Optimized Deep Learning,Resource-Optimized_Deep_Learning_Tool_1,9.9,1.17,8.67,1.71,8.29
Resource-Optimized Deep Learning,Resource-Optimized_Deep_Learning_Tool_2,7.32,6.66,3.01,6.97,7.8
Resource-Optimized Deep Learning,Resource-Optimized_Deep_Learning_Tool_3,5.96,2.35,6.91,5.34,4.87
Resource-Optimized Deep Learning,Resource-Optimized_Deep_Learning_Tool_4,9.65,1.95,9.65,2.01,7.73
Eco-Friendly Data Processing,Eco-Friendly_Data_Processing_Tool_1,9.03,1.1,8.67,1.54,7.4
Eco-Friendly Data Processing,Eco-Friendly_Data_Processing_Tool_2,5.98,5.12,5.68,4.89,4.74
Eco-Friendly Data Processing,Eco-Friendly_Data_Processing_Tool_3,8.85,5.66,3.76,6.47,6.29
Eco-Friendly Data Processing,Eco-Friendly_Data_Processing_Tool_4,8.17,5.94,3.47,6.49,7.39
Smart Grid AI,Smart_Grid_AI_Tool_1,7.32,5.86,3.57,6.88,6.22
Smart Grid AI,Smart_Grid_AI_Tool_2,5.06,4.68,5.47,5.15,4.17
Smart Grid AI,Smart_Grid_AI_Tool_3,5.76,2.78,5.45,4.89,5.84
Smart Grid AI,Smart_Grid_AI_Tool_4,7.21,6.98,3.55,6.47,7.9
Waste Management AI,Waste_Management_AI_Tool_1,6.98,2.31,5.79,5.5,5.54
Waste Management AI,Waste_Management_AI_Tool_2,8.1,6.49,3.67,6.7,7.03
Waste Management AI,Waste_Management_AI_Tool_3,7.05,6.07,3.99,5.63,7.5
Waste Management AI,Waste_Management_AI_Tool_4,7.24,6.58,4.95,6.02,6.94
Renewable Energy AI,Renewable_Energy_AI_Tool_1,6.59,4.31,5.46,5.15,4.7
Renewable Energy AI,Renewable_Energy_AI_Tool_2,5.28,2.31,5.83,4.01,5.73
Renewable Energy AI,Renewable_Energy_AI_Tool_3,6.99,2.08,5.81,5.71,5.45
Renewable Energy AI,Renewable_Energy_AI_Tool_4,8.37,6.38,4.57,5.12,7.82
Carbon Footprint Analytics,Carbon_Footprint_Analytics_Tool_1,6.3,3.86,6.86,5.42,4.13
Carbon Footprint Analytics,Carbon_Footprint_Analytics_Tool_2,9.66,1.68,9.22,1.45,8.58
Carbon Footprint Analytics,Carbon_Footprint_Analytics_Tool_3,5.79,3.21,6.26,5.06,5.46
Carbon Footprint Analytics,Carbon_Footprint_Analytics_Tool_4,8.32,6.35,3.25,6.94,7.57
Environmental Monitoring,Environmental_Monitoring_Tool_1,5.03,5.45,5.43,4.65,4.81
Environmental Monitoring,Environmental_Monitoring_Tool_2,6.3,3.91,5.49,5.92,4.99
Environmental Monitoring,Environmental_Monitoring_Tool_3,8.2,5.51,3.29,6.94,6.96
Environmental Monitoring,Environmental_Monitoring_Tool_4,7.84,6.05,3.99,6.57,7.52
Green Cloud Computing,Green_Cloud_Computing_Tool_1,9.41,1.09,9.53,2.81,7.23
Green Cloud Computing,Green_Cloud_Computing_Tool_2,9.09,1.41,8.85,2.36,7.93
Green Cloud Computing,Green_Cloud_Computing_Tool_3,8.09,1.21,8.76,2.42,7.55
Green Cloud Computing,Green_Cloud_Computing_Tool_4,8.24,1.73,9.85,2.94,7.13
Sustainable IoT,Sustainable_IoT_Tool_1,7.52,5.12,3.9,6.94,6.36
Sustainable IoT,Sustainable_IoT_Tool_2,6.64,3.93,5.98,4.2,4.2
Sustainable IoT,Sustainable_IoT_Tool_3,5.44,3.28,6.69,5.52,5.1
Sustainable IoT,Sustainable_IoT_Tool_4,6.9,2.05,6.93,5.46,4.25
Energy Management Systems,Energy_Management_Systems_Tool_1,5.16,4.02,6.72,4.08,5.1
Energy Management Systems,Energy_Management_Systems_Tool_2,5.03,4.49,6.11,4.54,4.96
Energy Management Systems,Energy_Management_Systems_Tool_3,7.4,5.54,3.55,5.81,6.6
Energy Management Systems,Energy_Management_Systems_Tool_4,7.73,5.37,3.56,5.14,6.13
Resource Planning AI,Resource_Planning_AI_Tool_1,9.29,2.49,9.99,1.59,7.76
Resource Planning AI,Resource_Planning_AI_Tool_2,9.86,3,8.95,1.07,8.12
Resource Planning AI,Resource_Planning_AI_Tool_3,8.61,5.37,3.59,5.07,7.86
Resource Planning AI,Resource_Planning_AI_Tool_4,5.08,3.46,5.43,5.47,4.24
Climate Modeling AI,Climate_Modeling_AI_Tool_1,9.77,1.08,8.39,1.48,8.84
Climate Modeling AI,Climate_Modeling_AI_Tool_2,6.89,4.53,6.31,4.48,4.31
Climate Modeling AI,Climate_Modeling_AI_Tool_3,9.82,2.59,9.22,1.94,8.18
Climate Modeling AI,Climate_Modeling_AI_Tool_4,6.47,5.02,5.96,4.54,5.18
Eco-Logistics AI,Eco-Logistics_AI_Tool_1,9.91,2.94,9.9,2.27,7.83
Eco-Logistics AI,Eco-Logistics_AI_Tool_2,6.03,5.53,5.14,4.33,4.01
Eco-Logistics AI,Eco-Logistics_AI_Tool_3,8.55,5.53,4.53,5.07,6.69
Eco-Logistics AI,Eco-Logistics_AI_Tool_4,5.13,2.76,6.18,5.55,5.88
Green Manufacturing AI,Green_Manufacturing_AI_Tool_1,6.4,3.45,5.34,4.71,4.56
Green Manufacturing AI,Green_Manufacturing_AI_Tool_2,8.04,1.73,9.72,2.11,8.88
Green Manufacturing AI,Green_Manufacturing_AI_Tool_3,6.85,4.23,6.19,4.06,5.56
